Grocery Flyer Deals for Super C in Montreal
==================================================

- **GERMES DE HARICOT | BEAN SPROUTS**: $2.69
- **poires asiatiques jaunes ou brunes | yellow or brown asian pears**: $1.99
- **mini melon d'eau sans pépins | seedless mini watermelon**: $4.99
- **quart de jambon fumé style toupie Selection | Selection toupie style smoked ham quarter**: $5.99
- **carottes | carrots**: $2.99
- **Tomates raisins de serre | grape tomatoes**: $3.99
- **Bananes | Bananas**: $0.79
- **Bacon tranché Ménard | Ménard bacon**: $9.99
- **saucisses enrobées de pâte Pogo | Pogo breaded wieners**: $10.99
- **Produit laitier sans lactose Natrel | Natrel lactose-free dairy product**: $5.99
- **Sauce pour pâtes Mikes | Mikes pasta sauce**: $4.49
- **Fromages à raclette Irrésistible | Irrésistible raclette cheese**: $10.0
- **Toast Melba Grissol | Grissol Melba toast**: $4.99
- **Fruits Selection | Selection frozen fruits**: $14.0
- **Yogourt à boire Yop Yoplait | Yoplait Yop drinkable yogurt**: $11.49
- **Pizza pochettes McCain | McCain frozen pizza pockets**: $14.0
- **pâtes alimentaires Barilla | Barilla pasta**: $3.99
- **Croissants Selection | Selection croissants**: $5.49
- **beurre d'arachide Selection | Selection peanut butter**: $4.49
- **courgettes vertes, jaunes ou grises | green, grey or yellow zucchini squashes**: $2.99
- **friandises glacées Häagen-Dazs | Häagen-Dazs frozen treats**: $4.94
- **miel Aurora | Aurora honey**: $7.99
- **sel de mer Kalas | Kalas sea salt**: $2.09
- **Bouillon en cubes Maggi | Maggi broth cubes**: $5.99
- **Riz à grains longs Cedar | Cedar long grain rice**: $13.99
- **Sébaste Ferma | Ferma frozen red fish**: $7.99
- **Trempette de pois chiches Cedar | Cedar chick pea dip**: $1.99
- **biscuits Maria Gullon | Gullon Maria cookies**: $3.69
- **Galette de riz Crispy minis Quaker | Rice cake**: $2.79
- **filets de pangasius Anchor's Bay | Anchor's Bay frozen basa fillets**: $2.99
- **Dorade royale Ocean Jewel | Ocean Jewel european seabream**: $12.92
- **Oranges Navel | Navel oranges**: $3.99
- **riz instantané Minute Rice | Minute Rice instant rice**: $4.49
- **craquelins Ritz | Ritz crackers, Peekfreans cookies**: $2.99
- **Fèves au lard À Table | À Table beans with pork**: $3.99
- **Sandwich Smuckers Uncrustables | Uncrustables**: $4.99
- **Chocolatine La Petite Bretonne | La Petite Bretonne chocolate buns**: $3.99
- **pains à sous-marin | submarine buns**: $3.99
- **Crème glacée Irrésistible | Irrésistible ice cream**: $4.99
- **bouillon concentré Bovril | Bovril concentrated broth**: $6.99
- **Riz Ben Original | Ben's Original rice**: $1.99
- **vinaigrette Renée's | Renée's salad dressing**: $8.99
- **Mélange pour lait au chocolat Chocolisto | Chocolate milk flavouring mix**: $4.29
- **hummus Irrésistible | Irrésistible hummus**: $3.88
- **Eau gazéifiée Maison Perrier | carbonated spring water**: $6.99
- **Mangues rouges | red mangoes**: $7.99
- **poires Rocha | Rocha pears**: $9.99
- **yogourt Iögo | Iögo yogurt**: $10.29
- **Oeufs blancs poules en liberté Mieux‑être Naturalia | Life Smart Naturalia free run white eggs**: $4.49
- **soupe Aylmer | Aylmer soup**: $0.99
- **cretons Selection | Selection cretons**: $5.49
- **vol-au-vent Selection | Selection pastry shells**: $3.99
- **croustilles ou bâtonnets aux légumes Irrésistible | Irrésistible vegetable chips or sticks**: $3.49
- **barres Val Nature | Betty Crocker, Fruitsations collation**: $2.99
- **Chocolat Brookside | Brookside chocolate**: $5.49
- **saumon rose Clover Leaf | Clover Leaf pink salmon**: $4.49
- **rince bouche Scope | Scope mouthwash**: $4.99
- **Sauce pour pâtes Sélection du jardin Catelli | Catelli Garden Select pasta sauce**: $1.99
- **Fromage à griller haloumi Doré‑Mi | Doré-Mi haloumi grilling cheese**: $5.99
- **Mélange à sauce Knorr | Knorr sauce mix**: $1.69
- **pilons de poulet Exceldor | Exceldor chicken drumsticks**: $2.75
- **Yogourt grec Irrésistible | Irrésistible greek yogurt**: $4.99
- **poitrines de poulet frais désossées | fresh boneless chicken breasts, econo pack**: $6.99
- **pain naan Santosh | Santosh naan bread**: $3.88
- **crème concentrée sucrée Nutimilk | Nutimilk sweetened**: $1.99
- **pâté St‑Hubert | St-Hubert pot pie**: $5.99
- **Bière Bud Light Lime, Brasseur de Montréal, Sleeman | beer**: $42.28
- **Aubergines | Eggplants**: $2.49
- **Pets de soeur à l'érable Boulangerie St-Donat | St-Donat Pastry maple syrup nun's**: $7.99
- **fromage râpé Selection | Selection shredded cheese**: $5.99
- **saumon à poké Irrésistible | Irrésistible frozen salmon poke**: $19.99
- **Sauce tomate Hunt's | Hunt's tomato sauce**: $2.49
- **Pâtes alimentaires Protein+ | Catelli Protein + pasta**: $2.99
- **pâtes fraîches farcies Olivieri | Olivieri fresh stuffed pasta**: $9.99
- **rôti de bas de palette désossé | boneless bottom blade roast, european cut**: $6.88
- **Lait au chocolat Québon | Québon chocolate milk**: $1.75
- **pommes de terre McCain | McCain potatoes**: $2.99
- **dîner Irrésistible | Irrésistible dinner**: $3.79
- **Gâteau à l'érable Pâtisserie Jessica | Jessica Pastry maple cake**: $18.99
- **Ensemble mexicain Old El Paso | Old El Paso mexican kit**: $3.77
- **Préparation à salade césar Et Tu | Et Tu caesar salad kit**: $6.99
- **boeuf haché maigre | lean ground beef**: $7.99
- **DATTES ENTIÈRES DESNOYAUTÉS COMPASS | COMPASS WHOLE PITTED DATES**: $9.99
- **pastilles pour lave‑vaisselle Cascade | Cascade dishwasher tabs**: $20.99
- **pamplemousses rouges | red grapefruits**: $5.99
- **pâté de foie ou de campagne La Belle Bretagne | La Belle Bretagne liver or countrystyle pâté**: $2.99
- **portions de poisson panées Blue Water | Blue Water breaded fish portions**: $8.99
- **Céréales Croque Nature Quaker | Quaker Harvest Crunch cereal**: $10.49
- **pizza Resto Pizz | Resto Pizz pizza**: $6.99
- **gazéifiée canettes Selection | Selection carbonated water**: $5.99
- **Biscuits soda Selection | Selection soda crackers**: $3.49
- **Yogourt Méditerranée Liberté | Liberté Méditerranée yogurt**: $3.79
- **friandises chocolatées Nestlé | Nestlé chocolate treats**: $3.99
- **Powerade | Sport drink**: $19.99
- **pâtes alimentaires Catelli | Catelli pasta**: $1.67
- **échalotes françaises Attitude | Attitude french shallots**: $5.99
- **boisson gazeuse Selection | Selection soft drink**: $11.99
- **légumes Selection**: $2.99
- **Nourriture pour chats Friskies | Friskies cat food**: $0.9
- **Avocats | avocados**: $4.99
- **salade Selection | Selection salad**: $2.99
- **ail haché Derlea | Derlea Derlea chopped garlic**: $7.99
- **bière Labatt | Budweiser, Molson Export**: $70.48
- **collation aux fruits Fruitsations Mott's | Mott's Fruitsations fruit snacks**: $11.79
- **Muffins Irresistible | Irresistible muffins**: $6.0
- **Mini concombres | small cucumbers**: $6.99
- **tofu extra ferme Sunrise | Sunrise extra firm tofu**: $8.49
- **Champignons | mushrooms**: $1.44
- **papier hygiénique Cashmere | Sponge Towels Ultra Pro essuie-tout de papier**: $6.97
- **produit de fromage fondu en tranche Selection | Selection processed cheese product slices**: $2.99
- **KIWIS | KIWIS IMPORTÉS DE LA GRÈCE, PANIER 2 lb OU KIWIS JAUNES SUCRÉS SUNGOLD | SUNGOLD SWEET YELLOW KIWIS IMPORTÉS DE L'ITALIE, 454 g**: $5.99
- **Lanières de boeuf ou de poulet | beef or chicken strips, econo pack**: $9.99
- **fromage Irrésistible Artisan | Irrésistible Artisan cheese**: $6.99
- **vin rouge, blanc ou rosé | red, white or rosé wine**: $9.99
- **Poivrons rouges, orange ou jaunes de serre | hothouse red, orange or yellow peppers**: $4.99
- **Gâteau au fromage Selection | Selection cheese cake**: $5.99
- **Bagels style Montréal | Montréal style bagels**: $3.49
- **Yogourt Yoplait Crémeux | Yoplait Crémeux yogurt**: $6.99
- **boisson à l'avoine Earth's Own | Earth's Own oat drink**: $4.99
- **mayonnaise Hellmann's | Hellmann's mayonnaise**: $5.95
